OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost
SO - 000121,02-06-2014,112,Export,USD,GUT930,35,6,8,2278.00,18224.00,1754.06
SO - 000122,03-06-2014,90,Export,USD,NXH382,51,26,12,991.60,11899.20,654.46
SO - 000123,03-06-2014,109,Distributor,USD,AXW291,4,2,6,3979.80,23878.80,3064.45
SO - 000124,03-06-2014,52,Wholesale,USD,GUT930,40,14,12,1969.80,23637.60,866.71
SO - 000125,03-06-2014,127,Wholesale,USD,GUT930,31,25,12,268.00,3216.00,131.32
SO - 000126,03-06-2014,133,Wholesale,USD,AXW291,20,6,11,174.20,1916.20,95.81
SO - 000127,03-06-2014,116,Distributor,USD,GUT930,42,13,6,2988.20,17929.20,2510.09
SO - 000128,03-06-2014,20,Wholesale,USD,GUT930,43,13,11,3999.90,43998.90,2679.93
SO - 000129,03-06-2014,130,Distributor,USD,AXW291,18,15,10,5976.40,59764.00,2450.32
SO - 000130,03-06-2014,103,Wholesale,USD,AXW291,19,7,6,2901.10,17406.60,2378.90
SO - 000131,04-06-2014,133,Distributor,USD,NXH382,55,17,7,6076.90,42538.30,2734.61
SO - 000132,04-06-2014,51,Distributor,USD,NXH382,55,5,6,5735.20,34411.20,4186.70
SO - 000133,04-06-2014,175,Export,USD,GUT930,39,2,12,3919.50,47034.00,2077.34
SO - 000134,04-06-2014,117,Distributor,USD,FLR025,66,26,8,6083.60,48668.80,3832.67
SO - 000135,04-06-2014,42,Wholesale,USD,FLR025,61,3,5,2566.10,12830.50,1642.30
SO - 000136,04-06-2014,166,Wholesale,USD,AXW291,15,19,10,2278.00,22780.00,1093.44
SO - 000137,04-06-2014,173,Wholesale,USD,GUT930,46,26,7,261.30,1829.10,120.20
SO - 000138,04-06-2014,11,Wholesale,USD,FLR025,65,6,9,998.30,8984.70,698.81
SO - 000139,04-06-2014,39,Wholesale,USD,AXW291,17,27,6,3497.40,20984.40,1958.54
SO - 000140,04-06-2014,137,Wholesale,USD,GUT930,36,26,9,1132.30,10190.70,486.89
SO - 000141,04-06-2014,75,Wholesale,USD,AXW291,8,14,9,2405.30,21647.70,1587.50
SO - 000142,04-06-2014,33,Distributor,USD,FLR025,66,15,7,5701.70,39911.90,3249.97
SO - 000143,05-06-2014,134,Distributor,USD,GUT930,45,25,9,2452.20,22069.80,1446.80
SO - 000144,05-06-2014,115,Wholesale,USD,AXW291,2,25,7,3095.40,21667.80,2012.01
SO - 000145,05-06-2014,90,Export,USD,GUT930,38,13,9,3865.90,34793.10,2164.90
SO - 000146,05-06-2014,2,Distributor,USD,AXW291,7,5,7,2304.80,16133.60,1382.88
SO - 000147,05-06-2014,47,Distributor,USD,AXW291,7,11,10,3195.90,31959.00,1470.11
SO - 000148,05-06-2014,80,Wholesale,USD,NXH382,53,13,10,6452.10,64521.00,5161.68
SO - 000149,06-06-2014,78,Export,USD,AXW291,19,4,6,2003.30,12019.80,921.52
SO - 000150,06-06-2014,91,Wholesale,USD,AXW291,4,18,5,3638.10,18190.50,1455.24
SO - 000151,06-06-2014,19,Export,USD,AXW291,20,3,6,2278.00,13668.00,1822.40
SO - 000152,06-06-2014,21,Distributor,USD,AXW291,26,5,12,924.60,11095.20,582.50
SO - 000153,06-06-2014,31,Wholesale,USD,AXW291,20,21,11,3926.20,43188.20,3062.44
SO - 000154,06-06-2014,70,Export,USD,FLR025,63,15,7,3825.70,26779.90,2257.16
SO - 000155,06-06-2014,89,Wholesale,USD,FLR025,65,4,10,2257.90,22579.00,1377.32
SO - 000156,07-06-2014,3,Wholesale,USD,AXW291,27,30,7,1112.20,7785.40,756.30
SO - 000157,07-06-2014,76,Wholesale,USD,AXW291,19,14,5,3557.70,17788.50,1814.43
SO - 000158,07-06-2014,3,Distributor,USD,AXW291,11,1,7,2371.80,16602.60,1233.34
SO - 000159,07-06-2014,125,Wholesale,USD,AXW291,11,14,12,857.60,10291.20,686.08
SO - 000160,08-06-2014,86,Wholesale,USD,GUT930,43,8,11,3892.70,42819.70,2880.60
SO - 000161,08-06-2014,1,Distributor,USD,AXW291,28,24,8,3477.30,27818.40,1390.92
SO - 000162,08-06-2014,104,Distributor,USD,AXW291,28,26,6,3738.60,22431.60,2803.95
SO - 000163,08-06-2014,63,Wholesale,USD,NXH382,48,25,8,1072.00,8576.00,589.60
SO - 000164,08-06-2014,121,Wholesale,USD,AXW291,22,4,12,2257.90,27094.80,1761.16
SO - 000165,08-06-2014,40,Distributor,USD,GUT930,42,3,5,1058.60,5293.00,751.61
SO - 000166,08-06-2014,118,Wholesale,USD,AXW291,14,1,10,2492.40,24924.00,1296.05
SO - 000167,08-06-2014,20,Wholesale,USD,AXW291,13,4,6,3852.50,23115.00,2465.60
SO - 000168,09-06-2014,119,Wholesale,USD,GUT930,39,13,11,241.20,2653.20,132.66
SO - 000169,09-06-2014,134,Distributor,USD,AXW291,6,5,5,1051.90,5259.50,494.39
SO - 000170,09-06-2014,146,Distributor,USD,AXW291,31,29,8,227.80,1822.40,107.07
SO - 000171,09-06-2014,101,Wholesale,USD,FLR025,60,26,9,1078.70,9708.30,506.99
SO - 000172,09-06-2014,125,Wholesale,USD,AXW291,18,17,6,1005.00,6030.00,743.70
SO - 000173,09-06-2014,109,Distributor,USD,NXH382,52,23,6,2485.70,14914.20,1317.42
SO - 000174,09-06-2014,108,Distributor,USD,AXW291,26,4,10,2659.90,26599.00,2154.52
SO - 000175,10-06-2014,72,Wholesale,USD,AXW291,20,6,11,2224.40,24468.40,1579.32
SO - 000176,10-06-2014,152,Wholesale,USD,FLR025,61,1,8,2472.30,19778.40,1260.87
SO - 000177,10-06-2014,71,Wholesale,USD,GUT930,42,25,7,1011.70,7081.90,799.24
SO - 000178,10-06-2014,133,Wholesale,USD,GUT930,42,25,6,234.50,1407.00,128.98
SO - 000179,10-06-2014,131,Distributor,USD,AXW291,29,25,8,261.30,2090.40,143.72
SO - 000180,10-06-2014,147,Export,USD,AXW291,7,11,5,4006.60,20033.00,2844.69
SO - 000181,10-06-2014,150,Distributor,USD,GUT930,38,14,6,1333.30,7999.80,866.65
SO - 000182,11-06-2014,109,Wholesale,USD,GUT930,46,16,5,167.50,837.50,90.45
SO - 000183,11-06-2014,140,Export,USD,FLR025,61,25,5,3195.90,15979.50,1821.66
SO - 000184,11-06-2014,3,Wholesale,USD,NXH382,56,16,10,1051.90,10519.00,809.96
SO - 000185,11-06-2014,102,Export,USD,AXW291,2,5,9,5447.10,49023.90,3540.62
SO - 000186,11-06-2014,159,Wholesale,USD,GUT930,36,5,8,3182.50,25460.00,1973.15
SO - 000187,12-06-2014,136,Wholesale,USD,FLR025,61,13,5,891.10,4455.50,632.68
SO - 000188,12-06-2014,145,Export,USD,AXW291,29,17,7,3892.70,27248.90,2724.89
SO - 000189,12-06-2014,21,Export,USD,GUT930,45,12,9,3953.00,35577.00,3360.05
SO - 000190,12-06-2014,106,Wholesale,USD,GUT930,34,15,9,924.60,8321.40,545.51
SO - 000191,12-06-2014,5,Distributor,USD,GUT930,34,14,10,3430.40,34304.00,1989.63
SO - 000192,12-06-2014,57,Wholesale,USD,AXW291,31,17,8,1152.40,9219.20,622.30
SO - 000193,12-06-2014,28,Wholesale,USD,AXW291,24,2,5,1085.40,5427.00,922.59
SO - 000194,13-06-2014,34,Wholesale,USD,AXW291,27,16,5,5031.70,25158.50,4025.36
SO - 000195,13-06-2014,72,Wholesale,USD,AXW291,18,5,8,1092.10,8736.80,436.84
SO - 000196,13-06-2014,170,Export,USD,AXW291,4,28,9,187.60,1688.40,144.45
SO - 000197,13-06-2014,13,Export,USD,AXW291,17,26,9,3993.20,35938.80,2835.17
SO - 000198,13-06-2014,19,Export,USD,FLR025,65,30,11,2472.30,27195.30,1433.93
SO - 000199,13-06-2014,166,Wholesale,USD,AXW291,5,25,11,1206.00,13266.00,844.20
SO - 000200,13-06-2014,136,Distributor,USD,AXW291,26,13,11,1728.60,19014.60,985.30
SO - 000201,13-06-2014,121,Wholesale,USD,AXW291,25,25,6,1983.20,11899.20,1447.74
SO - 000202,13-06-2014,75,Wholesale,USD,GUT930,33,30,7,5313.10,37191.70,2656.55
SO - 000203,13-06-2014,124,Export,USD,AXW291,11,6,11,871.00,9581.00,566.15
SO - 000204,14-06-2014,100,Wholesale,USD,GUT930,32,4,6,2532.60,15195.60,2051.41
SO - 000205,14-06-2014,54,Wholesale,USD,AXW291,17,21,8,5916.10,47328.80,4673.72
SO - 000206,14-06-2014,146,Wholesale,USD,GUT930,42,1,7,2887.70,20213.90,1443.85
SO - 000207,14-06-2014,170,Wholesale,USD,GUT930,36,12,7,1855.90,12991.30,1447.60
SO - 000208,14-06-2014,108,Distributor,USD,AXW291,11,21,6,207.70,1246.20,135.01
SO - 000209,14-06-2014,166,Wholesale,USD,FLR025,62,3,6,1058.60,6351.60,772.78
SO - 000210,14-06-2014,142,Wholesale,USD,GUT930,44,3,10,958.10,9581.00,517.37
SO - 000211,14-06-2014,100,Wholesale,USD,GUT930,34,8,9,2659.90,23939.10,1675.74
SO - 000212,14-06-2014,75,Distributor,USD,AXW291,26,13,12,2217.70,26612.40,1707.63
SO - 000213,15-06-2014,155,Wholesale,USD,AXW291,8,16,7,1715.20,12006.40,857.60
SO - 000214,15-06-2014,20,Wholesale,USD,NXH382,52,10,6,3932.90,23597.40,1691.15
SO - 000215,15-06-2014,104,Distributor,USD,AXW291,31,9,5,2546.00,12730.00,1909.50
SO - 000216,15-06-2014,150,Distributor,USD,NXH382,50,25,5,837.50,4187.50,603.00
SO - 000217,15-06-2014,70,Distributor,USD,GUT930,40,10,10,1809.00,18090.00,1302.48
SO - 000218,15-06-2014,77,Distributor,USD,NXH382,55,13,5,857.60,4288.00,514.56
SO - 000219,15-06-2014,38,Export,USD,AXW291,2,13,8,1748.70,13989.60,1101.68
SO - 000220,15-06-2014,68,Distributor,USD,AXW291,14,25,10,1266.30,12663.00,582.50
SO - 000221,15-06-2014,142,Wholesale,USD,AXW291,5,13,11,5058.50,55643.50,3591.54
SO - 000222,15-06-2014,74,Distributor,USD,AXW291,7,23,10,958.10,9581.00,795.22
SO - 000223,15-06-2014,156,Export,USD,AXW291,22,19,11,1802.30,19825.30,756.97
SO - 000224,16-06-2014,135,Wholesale,USD,AXW291,9,13,11,6298.00,69278.00,4534.56
SO - 000225,16-06-2014,126,Wholesale,USD,AXW291,1,27,6,2499.10,14994.60,1824.34
SO - 000226,16-06-2014,140,Wholesale,USD,GUT930,36,19,8,871.00,6968.00,705.51
SO - 000227,16-06-2014,123,Wholesale,USD,GUT930,44,15,6,750.40,4502.40,360.19
SO - 000228,16-06-2014,139,Distributor,USD,GUT930,36,5,5,763.80,3819.00,504.11
SO - 000229,16-06-2014,96,Export,USD,NXH382,55,17,11,844.20,9286.20,565.61
SO - 000230,16-06-2014,154,Wholesale,USD,AXW291,6,24,5,261.30,1306.50,112.36
SO - 000231,16-06-2014,4,Export,USD,AXW291,13,14,8,3999.90,31999.20,2359.94
SO - 000232,16-06-2014,70,Wholesale,USD,GUT930,45,26,7,1112.20,7785.40,811.91
SO - 000233,16-06-2014,50,Wholesale,USD,AXW291,30,8,8,2633.10,21064.80,1843.17
SO - 000234,16-06-2014,44,Distributor,USD,AXW291,24,20,5,1018.40,5092.00,631.41
SO - 000235,16-06-2014,70,Distributor,USD,AXW291,10,26,12,5219.30,62631.60,3444.74
SO - 000236,16-06-2014,175,Export,USD,NXH382,47,8,11,3999.90,43998.90,2359.94
SO - 000237,17-06-2014,90,Wholesale,USD,FLR025,62,13,10,1721.90,17219.00,1084.80
SO - 000238,17-06-2014,129,Wholesale,USD,GUT930,35,1,9,737.00,6633.00,456.94
SO - 000239,17-06-2014,124,Wholesale,USD,AXW291,6,9,9,1219.40,10974.60,695.06
SO - 000240,17-06-2014,9,Wholesale,USD,NXH382,51,29,6,891.10,5346.60,712.88
SO - 000241,17-06-2014,117,Wholesale,USD,AXW291,27,25,12,978.20,11738.40,743.43
SO - 000242,17-06-2014,100,Wholesale,USD,AXW291,31,17,9,3946.30,35516.70,1657.45
SO - 000243,17-06-2014,92,Wholesale,USD,GUT930,33,18,12,1299.80,15597.60,922.86
SO - 000244,18-06-2014,155,Distributor,USD,AXW291,14,7,5,5815.60,29078.00,2791.49
SO - 000245,18-06-2014,100,Distributor,USD,AXW291,22,15,10,1092.10,10921.00,655.26
SO - 000246,18-06-2014,156,Wholesale,USD,AXW291,7,25,7,1072.00,7504.00,643.20
SO - 000247,18-06-2014,134,Wholesale,USD,GUT930,39,26,11,4020.00,44220.00,2653.20
SO - 000248,18-06-2014,140,Wholesale,USD,AXW291,12,3,9,984.90,8864.10,669.73
SO - 000249,18-06-2014,28,Wholesale,USD,FLR025,62,16,12,227.80,2733.60,100.23
SO - 000250,18-06-2014,72,Wholesale,USD,AXW291,7,13,11,3993.20,43925.20,3314.36
SO - 000251,18-06-2014,106,Distributor,USD,AXW291,30,2,10,221.10,2211.00,185.72
SO - 000252,19-06-2014,62,Distributor,USD,AXW291,19,14,9,3356.70,30210.30,2819.63
SO - 000253,19-06-2014,94,Wholesale,USD,NXH382,58,21,6,1701.80,10210.80,1157.22
SO - 000254,19-06-2014,67,Wholesale,USD,NXH382,50,15,5,2566.10,12830.50,2181.19
SO - 000255,19-06-2014,102,Wholesale,USD,AXW291,19,13,12,221.10,2653.20,126.03
SO - 000256,19-06-2014,172,Wholesale,USD,GUT930,45,27,9,1782.20,16039.80,980.21
SO - 000257,19-06-2014,41,Wholesale,USD,AXW291,17,30,10,2003.30,20033.00,801.32
SO - 000258,19-06-2014,142,Wholesale,USD,AXW291,6,17,11,2385.20,26237.20,1502.68
SO - 000259,19-06-2014,2,Wholesale,USD,AXW291,3,15,11,2231.10,24542.10,1784.88
SO - 000260,19-06-2014,140,Wholesale,USD,AXW291,22,18,7,1005.00,7035.00,412.05
SO - 000261,19-06-2014,122,Distributor,USD,NXH382,53,2,12,2693.40,32320.80,1939.25
SO - 000262,19-06-2014,156,Wholesale,USD,AXW291,20,4,8,1105.50,8844.00,652.25
SO - 000263,20-06-2014,108,Distributor,USD,AXW291,16,8,9,1909.50,17185.50,1088.42
SO - 000264,20-06-2014,123,Distributor,USD,GUT930,32,1,8,1118.90,8951.20,850.36
SO - 000265,20-06-2014,15,Wholesale,USD,AXW291,17,4,10,1038.50,10385.00,758.11
SO - 000266,20-06-2014,125,Distributor,USD,AXW291,23,14,6,6324.80,37948.80,4300.86
SO - 000267,20-06-2014,75,Wholesale,USD,AXW291,3,16,6,1005.00,6030.00,502.50
SO - 000268,20-06-2014,116,Distributor,USD,GUT930,32,16,10,1293.10,12931.00,659.48
SO - 000269,20-06-2014,47,Wholesale,USD,AXW291,14,25,5,844.20,4221.00,540.29
SO - 000270,20-06-2014,40,Wholesale,USD,NXH382,58,1,8,247.90,1983.20,195.84
SO - 000271,20-06-2014,161,Wholesale,USD,GUT930,39,13,12,174.20,2090.40,139.36
SO - 000272,21-06-2014,58,Wholesale,USD,NXH382,50,2,9,1025.10,9225.90,707.32
SO - 000273,21-06-2014,18,Export,USD,FLR025,62,10,9,3068.60,27617.40,2301.45
SO - 000274,21-06-2014,78,Distributor,USD,AXW291,22,18,7,241.20,1688.40,115.78
SO - 000275,21-06-2014,67,Distributor,USD,GUT930,36,15,10,174.20,1742.00,139.36
SO - 000276,21-06-2014,152,Export,USD,AXW291,6,17,7,2505.80,17540.60,1804.18
SO - 000277,21-06-2014,164,Wholesale,USD,GUT930,42,11,11,2599.60,28595.60,1637.75
SO - 000278,21-06-2014,151,Export,USD,AXW291,28,26,12,2278.00,27336.00,1503.48
SO - 000279,22-06-2014,106,Wholesale,USD,FLR025,64,25,12,1092.10,13105.20,589.73
SO - 000280,22-06-2014,1,Wholesale,USD,AXW291,8,17,9,1139.00,10251.00,933.98
SO - 000281,22-06-2014,67,Export,USD,FLR025,61,14,11,1675.00,18425.00,1072.00
SO - 000282,22-06-2014,38,Export,USD,GUT930,41,23,7,1011.70,7081.90,687.96
SO - 000283,22-06-2014,127,Wholesale,USD,AXW291,23,4,12,938.00,11256.00,412.72
SO - 000284,22-06-2014,66,Distributor,USD,AXW291,10,2,10,2566.10,25661.00,1052.10
SO - 000285,23-06-2014,59,Wholesale,USD,GUT930,32,6,12,871.00,10452.00,374.53
SO - 000286,23-06-2014,68,Wholesale,USD,AXW291,15,25,9,2485.70,22371.30,1789.70
SO - 000287,23-06-2014,67,Distributor,USD,FLR025,66,27,9,2345.00,21105.00,1922.90
SO - 000288,23-06-2014,21,Distributor,USD,AXW291,9,12,12,1118.90,13426.80,749.66
SO - 000289,23-06-2014,39,Wholesale,USD,AXW291,2,20,7,1996.60,13976.20,1397.62
SO - 000290,23-06-2014,113,Distributor,USD,AXW291,23,25,6,710.20,4261.20,390.61
SO - 000291,23-06-2014,21,Export,USD,GUT930,37,1,6,3979.80,23878.80,1790.91
SO - 000292,23-06-2014,116,Distributor,USD,FLR025,61,25,6,1025.10,6150.60,440.79
SO - 000293,23-06-2014,95,Distributor,USD,GUT930,36,15,8,2519.20,20153.60,1309.98
SO - 000294,23-06-2014,9,Wholesale,USD,AXW291,27,5,8,5031.70,40253.60,3471.87
SO - 000295,24-06-2014,3,Wholesale,USD,NXH382,56,18,10,1829.10,18291.00,768.22
SO - 000296,24-06-2014,148,Wholesale,USD,NXH382,55,26,11,1072.00,11792.00,900.48
SO - 000297,24-06-2014,109,Wholesale,USD,GUT930,45,27,10,2539.30,25393.00,1828.30
SO - 000298,24-06-2014,38,Distributor,USD,NXH382,48,19,8,3899.40,31195.20,2027.69
SO - 000299,25-06-2014,102,Wholesale,USD,FLR025,66,1,7,5045.10,35315.70,3380.22
SO - 000300,25-06-2014,37,Wholesale,USD,AXW291,23,20,11,1005.00,11055.00,522.60
SO - 000301,25-06-2014,107,Wholesale,USD,GUT930,33,28,11,2438.80,26826.80,1219.40
SO - 000302,26-06-2014,40,Distributor,USD,AXW291,28,1,6,3336.60,20019.60,2035.33
SO - 000303,26-06-2014,154,Wholesale,USD,GUT930,46,27,6,1098.80,6592.80,857.06
SO - 000304,26-06-2014,107,Wholesale,USD,AXW291,12,2,11,1902.80,20930.80,970.43
SO - 000305,26-06-2014,137,Wholesale,USD,AXW291,28,9,11,3477.30,38250.30,2190.70
SO - 000306,27-06-2014,146,Distributor,USD,GUT930,36,17,10,2599.60,25996.00,1481.77
SO - 000307,27-06-2014,164,Wholesale,USD,NXH382,54,25,12,1078.70,12944.40,506.99
SO - 000308,27-06-2014,4,Distributor,USD,GUT930,36,1,11,1045.20,11497.20,533.05
SO - 000309,27-06-2014,4,Export,USD,AXW291,29,2,11,1125.60,12381.60,787.92
SO - 000310,27-06-2014,165,Export,USD,GUT930,34,16,12,1105.50,13266.00,762.80
SO - 000311,27-06-2014,68,Export,USD,AXW291,16,10,10,2606.30,26063.00,1668.03
SO - 000312,27-06-2014,109,Wholesale,USD,GUT930,41,13,7,227.80,1594.60,95.68
SO - 000313,27-06-2014,107,Wholesale,USD,GUT930,33,15,8,167.50,1340.00,123.95
SO - 000314,27-06-2014,48,Wholesale,USD,GUT930,45,23,6,1145.70,6874.20,538.48
SO - 000315,27-06-2014,62,Wholesale,USD,NXH382,59,14,7,2599.60,18197.20,2157.67
SO - 000316,28-06-2014,21,Wholesale,USD,AXW291,25,10,5,3939.60,19698.00,1969.80
SO - 000317,28-06-2014,40,Distributor,USD,AXW291,20,2,6,2881.00,17286.00,1584.55
SO - 000318,28-06-2014,62,Distributor,USD,AXW291,20,13,8,3852.50,30820.00,2003.30
SO - 000319,28-06-2014,100,Export,USD,AXW291,10,17,7,1139.00,7973.00,546.72
SO - 000320,28-06-2014,59,Distributor,USD,GUT930,35,25,8,2519.20,20153.60,2040.55
SO - 000321,28-06-2014,39,Distributor,USD,AXW291,15,17,12,1192.60,14311.20,703.63
SO - 000322,28-06-2014,122,Wholesale,USD,GUT930,39,19,11,2412.00,26532.00,1013.04
SO - 000323,28-06-2014,142,Wholesale,USD,AXW291,24,25,9,2479.00,22311.00,2057.57
SO - 000324,28-06-2014,5,Wholesale,USD,NXH382,58,14,10,1956.40,19564.00,1330.35
SO - 000325,28-06-2014,22,Wholesale,USD,GUT930,32,25,9,1078.70,9708.30,722.73
SO - 000326,28-06-2014,47,Wholesale,USD,AXW291,13,22,11,1212.70,13339.70,945.91
SO - 000327,28-06-2014,88,Distributor,USD,GUT930,46,21,7,978.20,6847.40,821.69
SO - 000328,28-06-2014,172,Distributor,USD,NXH382,50,23,10,174.20,1742.00,120.20
SO - 000329,28-06-2014,74,Wholesale,USD,GUT930,41,5,5,1125.60,5628.00,630.34
SO - 000330,29-06-2014,31,Distributor,USD,NXH382,52,25,8,1065.30,8522.40,468.73
SO - 000331,29-06-2014,111,Distributor,USD,AXW291,11,2,8,3892.70,31141.60,2724.89
SO - 000332,29-06-2014,54,Wholesale,USD,NXH382,54,6,5,207.70,1038.50,120.47
SO - 000333,29-06-2014,99,Wholesale,USD,AXW291,14,27,8,1185.90,9487.20,948.72
SO - 000334,29-06-2014,110,Export,USD,FLR025,64,25,11,2586.20,28448.20,1629.31
SO - 000335,29-06-2014,152,Wholesale,USD,AXW291,5,5,10,2579.50,25795.00,1960.42
SO - 000336,29-06-2014,10,Distributor,USD,AXW291,5,4,8,6378.40,51027.20,2806.50
SO - 000337,29-06-2014,41,Wholesale,USD,NXH382,53,6,6,3008.30,18049.80,2226.14
SO - 000338,29-06-2014,27,Wholesale,USD,AXW291,26,26,8,1755.40,14043.20,930.36
SO - 000339,29-06-2014,168,Wholesale,USD,AXW291,31,6,8,1139.00,9112.00,740.35
SO - 000340,29-06-2014,3,Distributor,USD,AXW291,8,6,7,6157.30,43101.10,4556.40
SO - 000341,29-06-2014,150,Export,USD,AXW291,8,22,12,2231.10,26773.20,1093.24
SO - 000342,29-06-2014,4,Wholesale,USD,AXW291,12,20,9,2479.00,22311.00,1859.25
SO - 000343,30-06-2014,70,Wholesale,USD,AXW291,4,25,11,6391.80,70309.80,4793.85
SO - 000344,30-06-2014,143,Export,USD,NXH382,48,25,8,1139.00,9112.00,660.62
SO - 000345,30-06-2014,65,Wholesale,USD,GUT930,36,10,8,2586.20,20689.60,1681.03
SO - 000346,30-06-2014,171,Wholesale,USD,GUT930,38,25,5,3899.40,19497.00,1871.71
SO - 000347,30-06-2014,48,Distributor,USD,AXW291,15,22,9,951.40,8562.60,599.38
SO - 000348,01-07-2014,41,Distributor,USD,GUT930,31,26,9,5607.90,50471.10,3476.90
SO - 000349,01-07-2014,44,Export,USD,NXH382,50,5,8,1165.80,9326.40,827.72
SO - 000350,01-07-2014,30,Distributor,USD,NXH382,50,13,12,1949.70,23396.40,1520.77
SO - 000351,01-07-2014,75,Distributor,USD,AXW291,27,16,9,3685.00,33165.00,2690.05
SO - 000352,01-07-2014,138,Wholesale,USD,FLR025,60,13,8,2633.10,21064.80,1816.84
SO - 000353,01-07-2014,133,Wholesale,USD,NXH382,50,5,6,1072.00,6432.00,460.96
SO - 000354,01-07-2014,67,Distributor,USD,AXW291,6,17,10,3537.60,35376.00,1910.30
SO - 000355,01-07-2014,151,Distributor,USD,GUT930,42,18,11,1092.10,12013.10,622.50
SO - 000356,01-07-2014,98,Wholesale,USD,NXH382,48,4,9,1748.70,15738.30,1136.66
SO - 000357,01-07-2014,82,Wholesale,USD,AXW291,2,2,8,891.10,7128.80,739.61
SO - 000358,01-07-2014,78,Wholesale,USD,AXW291,29,19,5,3082.00,15410.00,1510.18
SO - 000359,01-07-2014,63,Wholesale,USD,AXW291,27,25,5,1125.60,5628.00,776.66
SO - 000360,01-07-2014,47,Wholesale,USD,AXW291,19,19,9,1252.90,11276.10,651.51
SO - 000361,02-07-2014,4,Distributor,USD,FLR025,66,14,11,837.50,9212.50,527.63
SO - 000362,02-07-2014,172,Wholesale,USD,NXH382,53,5,10,1031.80,10318.00,773.85
SO - 000363,02-07-2014,64,Wholesale,USD,GUT930,46,15,10,2385.20,23852.00,1454.97
SO - 000364,02-07-2014,106,Distributor,USD,AXW291,28,29,8,1802.30,14418.40,1153.47
SO - 000365,02-07-2014,29,Distributor,USD,NXH382,49,25,5,1018.40,5092.00,753.62
SO - 000366,02-07-2014,60,Wholesale,USD,AXW291,19,13,10,3946.30,39463.00,1815.30
SO - 000367,02-07-2014,29,Distributor,USD,AXW291,24,15,6,3953.00,23718.00,2095.09
SO - 000368,03-07-2014,142,Wholesale,USD,AXW291,29,16,10,5098.70,50987.00,3416.13
SO - 000369,03-07-2014,173,Export,USD,FLR025,63,20,11,3758.70,41345.70,1954.52
SO - 000370,03-07-2014,141,Distributor,USD,AXW291,9,1,5,911.20,4556.00,610.50
SO - 000371,03-07-2014,42,Wholesale,USD,GUT930,43,19,8,904.50,7236.00,379.89
SO - 000372,03-07-2014,87,Wholesale,USD,AXW291,23,26,10,911.20,9112.00,410.04
SO - 000373,03-07-2014,82,Wholesale,USD,AXW291,7,12,10,227.80,2278.00,134.40
SO - 000374,03-07-2014,4,Distributor,USD,AXW291,13,3,5,254.60,1273.00,117.12
SO - 000375,03-07-2014,160,Wholesale,USD,AXW291,6,14,11,683.40,7517.40,444.21
SO - 000376,04-07-2014,129,Wholesale,USD,AXW291,29,25,7,3919.50,27436.50,2234.12
SO - 000377,04-07-2014,34,Distributor,USD,FLR025,64,13,10,1092.10,10921.00,786.31
SO - 000378,05-07-2014,130,Wholesale,USD,GUT930,36,13,11,924.60,10170.60,536.27
SO - 000379,05-07-2014,47,Distributor,USD,GUT930,33,24,5,1018.40,5092.00,794.35
